Driver,Team,session_id,season,Avg_Speed,Max_Speed,Avg_Throttle,Max_Throttle,Avg_RPM,DRS_Activations,GearChanges,Quali_Position
44,Mercedes,2019_1,2019,72.36291438233334,321.0,77.33242813957062,104.0,4011.6745401444896,159768,9,1.0
77,Mercedes,2019_1,2019,77.22416354972589,322.0,63.53373981657017,104.0,4572.853614797356,151482,9,2.0
5,Ferrari,2019_1,2019,64.46810472921044,318.0,65.3279704872675,104.0,3734.268022749398,142262,9,3.0
33,Red Bull Racing,2019_1,2019,68.29492237536506,320.0,45.24747655889737,104.0,3842.628272787826,136242,9,4.0
16,Ferrari,2019_1,2019,68.32494748168264,321.0,72.72254957216785,104.0,3959.783060921248,158382,9,5.0
8,Haas F1 Team,2019_1,2019,68.40539017266998,320.0,63.04052876979044,104.0,4406.576010657375,150630,9,6.0
20,Haas F1 Team,2019_1,2019,72.38791822513706,319.0,70.5846697750679,104.0,4572.953527693805,158664,9,7.0
4,McLaren,2019_1,2019,84.27473484654404,322.0,51.76876569144848,104.0,4784.611979300097,131390,9,8.0
7,Alfa Romeo Racing,2019_1,2019,68.37469898037608,323.0,50.67228569964646,104.0,4026.653122918481,128344,9,9.0
11,Racing Point,2019_1,2019,60.68637597991495,324.0,55.122406107496026,104.0,3398.9836040375058,118016,9,10.0
27,Renault,2019_1,2019,40.26561459240662,322.0,37.1198954757391,104.0,2293.8632474253213,123034,9,11.0
3,Renault,2019_1,2019,48.28969616232003,319.0,55.89260644566276,104.0,2759.823948352718,153898,9,12.0
23,Toro Rosso,2019_1,2019,56.25357380744992,325.0,58.72234462263667,104.0,3176.366449761746,122584,9,13.0
99,Alfa Romeo Racing,2019_1,2019,56.37956653174156,325.0,58.231541732848285,104.0,3266.166828918379,127614,9,14.0
26,Toro Rosso,2019_1,2019,52.235333299175075,324.0,57.76092637188093,104.0,3026.936363170569,122122,9,15.0
18,Racing Point,2019_1,2019,24.140390428856893,322.0,67.52574678485423,104.0,1343.47543167495,116108,9,16.0
10,Red Bull Racing,2019_1,2019,24.15499308295332,318.0,80.3577906440539,104.0,1501.607829072091,154352,9,17.0
55,McLaren,2019_1,2019,24.06168980888456,323.0,93.46877081518676,104.0,1897.3618896346777,157324,9,18.0
63,Williams,2019_1,2019,36.19946713121894,319.0,67.81247117897217,104.0,2104.5798022237022,71971,9,19.0
88,Williams,2019_1,2019,32.188246144386945,317.0,67.94092329763795,104.0,2086.8660142439926,81410,9,20.0
16,Ferrari,2019_2,2019,53.53059858973699,328.0,71.28755983323897,104.0,3534.082968758042,154614,9,1.0
5,Ferrari,2019_2,2019,53.62133923516393,332.0,70.94734674970405,104.0,3431.0327345720316,153692,9,2.0
44,Mercedes,2019_2,2019,61.870708734366154,325.0,52.49652581193062,104.0,3445.981522466416,118558,9,3.0
77,Mercedes,2019_2,2019,61.92099438982964,324.0,72.47871738123423,104.0,3640.601832312522,159142,9,4.0
33,Red Bull Racing,2019_2,2019,49.26650882701117,321.0,69.10937258736939,104.0,2823.259611920326,157798,9,5.0
20,Haas F1 Team,2019_2,2019,61.74805702815379,322.0,74.75845385763549,104.0,3963.7811004169025,158682,9,6.0
55,McLaren,2019_2,2019,69.82989345823253,324.0,43.62900818364301,104.0,4053.291111225488,119388,9,7.0
8,Haas F1 Team,2019_2,2019,70.06284420196613,324.0,70.7604611662978,104.0,4309.411395336868,159186,9,8.0
7,Alfa Romeo Racing,2019_2,2019,74.01667610273303,327.0,43.17216531988265,104.0,4319.6104277111535,120130,9,9.0
4,McLaren,2019_2,2019,73.97580935714653,330.0,61.3943074785115,104.0,4557.252200319111,153518,9,10.0
3,Renault,2019_2,2019,49.399917648875395,329.0,56.30063307427042,104.0,3025.681301147769,157356,9,11.0
23,Toro Rosso,2019_2,2019,61.75747593803078,326.0,59.861958927376605,104.0,3698.996551546657,129276,9,12.0
10,Red Bull Racing,2019_2,2019,49.41849812136497,322.0,72.59977353440733,104.0,2993.5821709815223,157670,9,13.0
11,Racing Point,2019_2,2019,49.48319522363477,326.0,55.48412167378661,104.0,3005.4340933655876,116552,9,14.0
26,Toro Rosso,2019_2,2019,41.221730403005814,325.0,87.31952236347728,104.0,2534.2518915023934,117434,9,15.0
99,Alfa Romeo Racing,2019_2,2019,24.767872767512483,328.0,63.77312265170621,104.0,1529.4627618508416,117244,9,16.0
