Driver,session_id,season,Avg_Lap_Time,Avg_Sector_1_Time,Avg_Sector_2_Time,Avg_Sector_3_Time
44,2019_1,2019,99.887,34.987722,26.688277,38.263285
77,2019_1,2019,102.112642,34.605052,26.578421,41.077666
5,2019_1,2019,102.006363,35.413562,26.63025,39.076916
33,2019_1,2019,99.37825,35.317647,27.301647,36.97225
16,2019_1,2019,98.392416,34.423823,26.681176,38.623153
8,2019_1,2019,99.417818,35.334,26.329294,38.308916
20,2019_1,2019,99.417583,35.048611,26.330722,39.184833
4,2019_1,2019,101.005571,35.275571,26.733238,38.995
7,2019_1,2019,98.836,34.564117,26.601352,38.496846
11,2019_1,2019,96.3608,34.164933,26.0284,37.8289
27,2019_1,2019,101.53,36.8127,28.3845,39.9195
3,2019_1,2019,101.87375,35.870666,26.7115,40.785625
23,2019_1,2019,101.5546,35.972214,26.429428,39.8614
99,2019_1,2019,97.4908,34.257,25.489714,39.1294
26,2019_1,2019,104.576,36.177538,28.433384,40.394444
18,2019_1,2019,97.77925,34.3715,25.488666,38.7165
10,2019_1,2019,104.0316,35.676333,28.386666,39.7824
55,2019_1,2019,96.343,34.6905,27.49,37.42075
63,2019_1,2019,98.411333,33.714111,25.500333,39.350333
88,2019_1,2019,99.2254,34.4,25.861,37.4552
16,2019_2,2019,100.829333,31.715111,44.660538,25.840307
5,2019_2,2019,107.276222,33.973222,45.113769,29.28723
44,2019_2,2019,105.722727,32.752181,46.831333,27.507466
77,2019_2,2019,104.067,32.6393,45.130466,26.787866
33,2019_2,2019,97.752142,31.90425,44.823583,25.76009
20,2019_2,2019,102.2517,32.0233,46.372866,28.045466
55,2019_2,2019,102.615545,31.289909,47.070941,30.128294
8,2019_2,2019,104.015272,31.477909,47.01847,29.637
7,2019_2,2019,101.081833,31.893416,44.211166,28.202166
4,2019_2,2019,103.684583,31.45075,46.298777,29.071388
3,2019_2,2019,104.006625,32.692375,47.755083,29.09125
23,2019_2,2019,101.0647,31.9042,44.2858,28.1554
10,2019_2,2019,100.935625,31.609875,45.772916,29.028416
11,2019_2,2019,100.675625,31.851,47.77725,28.649583
26,2019_2,2019,100.291,31.732166,44.8555,26.3846
99,2019_2,2019,101.47075,32.71475,46.508333,27.549666
27,2019_2,2019,101.0675,32.7565,45.467666,28.545
18,2019_2,2019,100.09025,31.9845,46.053333,29.768
63,2019_2,2019,100.3926,31.3448,44.853375,27.638875
88,2019_2,2019,100.8736,31.3356,44.67025,27.975375
77,2019_3,2019,107.5048,26.6415,33.737,51.739333
44,2019_3,2019,107.7746,27.0649,33.605066,50.129933
5,2019_3,2019,106.092818,26.635909,32.381687,50.662687
16,2019_3,2019,107.234909,26.754454,33.610437,50.189062
33,2019_3,2019,109.023666,27.253666,34.296071,52.168785
10,2019_3,2019,109.742444,27.836,35.791857,51.2985
3,2019_3,2019,107.401916,27.925916,34.215111,52.116055
27,2019_3,2019,109.1545,27.2593,34.168,52.477066
20,2019_3,2019,112.2707,28.2327,34.743937,53.356687
8,2019_3,2019,113.019888,27.997888,35.198733,54.4744
26,2019_3,2019,106.40875,27.065875,33.867,50.88625
11,2019_3,2019,107.242,26.9925,34.374833,52.541166
7,2019_3,2019,108.53275,27.491125,33.784833,50.507833
55,2019_3,2019,108.545625,27.306125,34.575166,51.63025
4,2019_3,2019,107.47275,26.41175,33.613416,52.46775
18,2019_3,2019,103.4455,26.55025,33.634,51.724333
63,2019_3,2019,106.713666,26.826666,32.064222,50.643444
88,2019_3,2019,104.652,26.857666000000002,32.155666,48.08
23,2019_3,2019,,,,
99,2019_3,2019,136.522,29.619,38.256,65.6825
77,2019_4,2019,111.195538,39.304066,47.007052,27.536333
44,2019_4,2019,113.043857,40.2505,47.2015,27.77
5,2019_4,2019,112.829687,39.861833,47.428363,27.265952
33,2019_4,2019,113.2407,39.887636,46.475571,27.717071
11,2019_4,2019,112.478363,41.268916,46.264764,28.398941
26,2019_4,2019,114.675411,38.893444,46.676272,29.293909
4,2019_4,2019,116.04147,39.370823,47.051478,29.629956
99,2019_4,2019,116.150285,39.827,47.01665,29.4588
16,2019_4,2019,111.824375,39.101555,47.975909,26.4974
55,2019_4,2019,115.48,38.868923,47.144588,28.687937
3,2019_4,2019,110.6641,39.965636,46.6612,28.468533
23,2019_4,2019,115.248769,39.407214,47.358352,29.318235
20,2019_4,2019,117.43975,40.429083,47.740937,29.068812
18,2019_4,2019,109.1508,41.2695,46.06125,28.53275
8,2019_4,2019,111.112285,41.379625,47.5537,27.8328
27,2019_4,2019,120.8898,44.924,50.806625,29.78275
63,2019_4,2019,115.825857,38.899428,46.829333,30.608444
88,2019_4,2019,118.5628,40.9845,49.627428,27.798285
7,2019_4,2019,116.226857,39.994571,47.38775,29.6855
10,2019_4,2019,118.60975,42.77375,48.0938,27.652
77,2019_5,2019,89.148272,24.1645,33.546722,33.840294
44,2019_5,2019,92.751181,25.628833,34.431647,34.406062
5,2019_5,2019,94.945538,27.777769,33.742882,33.213705
33,2019_5,2019,88.574571,26.210375,34.163,32.711818
16,2019_5,2019,95.887214,28.341,34.593631,33.073055
10,2019_5,2019,88.80009,25.3085,34.070294,32.420125
8,2019_5,2019,89.006,23.4355,33.357812,34.4518
20,2019_5,2019,90.632333,24.5401,32.9816,35.1885
26,2019_5,2019,88.45023,24.525642,33.36565,33.155
3,2019_5,2019,91.69525,24.464846,34.849842,34.442666
4,2019_5,2019,90.9363,23.8468,33.649857,35.344142
23,2019_5,2019,88.7876,24.9126,33.132071,32.178285
55,2019_5,2019,92.51875,24.588375,33.603416,35.979333
7,2019_5,2019,91.9689,25.3468,34.986642,32.799785
11,2019_5,2019,86.739,24.307625,32.874083,32.522636
27,2019_5,2019,90.1325,24.9292,41.708285000000004,32.659571
18,2019_5,2019,86.659,23.902833,32.651666,32.196333
99,2019_5,2019,90.2398,25.227166,35.28225,32.935571
63,2019_5,2019,95.074166,25.864166,34.741125,34.84775
88,2019_5,2019,92.959666,24.206333,32.936222,34.998444
44,2019_6,2019,82.302173,21.834428,37.893892,23.039695
77,2019_6,2019,82.277,21.613925000000002,37.744111,23.507363
33,2019_6,2019,81.288642,22.142842,37.131842,23.200214
5,2019_6,2019,81.018666,21.64637,37.455037,22.365714
10,2019_6,2019,81.845947,22.340666,37.822708,22.456157
20,2019_6,2019,84.27121,22.564958,38.114291,24.198894
3,2019_6,2019,81.2557,22.58768,37.641,22.44685
26,2019_6,2019,82.155958,21.943433,37.947266,23.475875
55,2019_6,2019,82.34275,21.943433,38.0922,23.000791
23,2019_6,2019,82.659,22.555129,37.80658,22.99016
27,2019_6,2019,82.421937,22.41955,38.15185,22.31225
4,2019_6,2019,82.316944,22.536409,38.436863,21.822277
8,2019_6,2019,85.213176,22.207142,39.091047,23.275588
7,2019_6,2019,84.004764,23.081095,39.000523,22.50247
99,2019_6,2019,83.7105,23.04759,37.780454,23.439111
16,2019_6,2019,81.499857,21.227,37.6465,21.837
11,2019_6,2019,84.215333,22.394909,38.413454,24.463666
18,2019_6,2019,86.482,22.19509,38.850636,25.473
63,2019_6,2019,84.778166,22.308692,37.969461,25.088916
