Driver,session_id,season,Final_Race_Position
77,2019_1,2019,1.0
44,2019_1,2019,2.0
33,2019_1,2019,3.0
5,2019_1,2019,4.0
16,2019_1,2019,5.0
20,2019_1,2019,6.0
27,2019_1,2019,7.0
7,2019_1,2019,8.0
18,2019_1,2019,9.0
26,2019_1,2019,10.0
10,2019_1,2019,11.0
4,2019_1,2019,12.0
11,2019_1,2019,13.0
23,2019_1,2019,14.0
99,2019_1,2019,15.0
63,2019_1,2019,16.0
88,2019_1,2019,17.0
8,2019_1,2019,18.0
3,2019_1,2019,19.0
55,2019_1,2019,20.0
44,2019_2,2019,1.0
77,2019_2,2019,2.0
16,2019_2,2019,3.0
33,2019_2,2019,4.0
5,2019_2,2019,5.0
4,2019_2,2019,6.0
7,2019_2,2019,7.0
10,2019_2,2019,8.0
23,2019_2,2019,9.0
11,2019_2,2019,10.0
99,2019_2,2019,11.0
26,2019_2,2019,12.0
20,2019_2,2019,13.0
18,2019_2,2019,14.0
63,2019_2,2019,15.0
88,2019_2,2019,16.0
27,2019_2,2019,17.0
3,2019_2,2019,18.0
55,2019_2,2019,19.0
8,2019_2,2019,20.0
44,2019_3,2019,1.0
77,2019_3,2019,2.0
5,2019_3,2019,3.0
33,2019_3,2019,4.0
16,2019_3,2019,5.0
10,2019_3,2019,6.0
3,2019_3,2019,7.0
11,2019_3,2019,8.0
7,2019_3,2019,9.0
23,2019_3,2019,10.0
8,2019_3,2019,11.0
18,2019_3,2019,12.0
20,2019_3,2019,13.0
55,2019_3,2019,14.0
99,2019_3,2019,15.0
63,2019_3,2019,16.0
88,2019_3,2019,17.0
4,2019_3,2019,18.0
26,2019_3,2019,19.0
27,2019_3,2019,20.0
77,2019_4,2019,1.0
44,2019_4,2019,2.0
5,2019_4,2019,3.0
33,2019_4,2019,4.0
16,2019_4,2019,5.0
11,2019_4,2019,6.0
55,2019_4,2019,7.0
4,2019_4,2019,8.0
18,2019_4,2019,9.0
7,2019_4,2019,10.0
23,2019_4,2019,11.0
99,2019_4,2019,12.0
20,2019_4,2019,13.0
27,2019_4,2019,14.0
63,2019_4,2019,15.0
88,2019_4,2019,16.0
10,2019_4,2019,17.0
8,2019_4,2019,18.0
26,2019_4,2019,19.0
3,2019_4,2019,20.0
44,2019_5,2019,1.0
77,2019_5,2019,2.0
33,2019_5,2019,3.0
5,2019_5,2019,4.0
16,2019_5,2019,5.0
10,2019_5,2019,6.0
20,2019_5,2019,7.0
55,2019_5,2019,8.0
26,2019_5,2019,9.0
8,2019_5,2019,10.0
23,2019_5,2019,11.0
3,2019_5,2019,12.0
27,2019_5,2019,13.0
7,2019_5,2019,14.0
11,2019_5,2019,15.0
99,2019_5,2019,16.0
63,2019_5,2019,17.0
88,2019_5,2019,18.0
18,2019_5,2019,19.0
4,2019_5,2019,20.0
44,2019_6,2019,1.0
5,2019_6,2019,2.0
77,2019_6,2019,3.0
33,2019_6,2019,4.0
10,2019_6,2019,5.0
55,2019_6,2019,6.0
26,2019_6,2019,7.0
23,2019_6,2019,8.0
3,2019_6,2019,9.0
8,2019_6,2019,10.0
4,2019_6,2019,11.0
11,2019_6,2019,12.0
27,2019_6,2019,13.0
20,2019_6,2019,14.0
63,2019_6,2019,15.0
18,2019_6,2019,16.0
7,2019_6,2019,17.0
88,2019_6,2019,18.0
99,2019_6,2019,19.0
16,2019_6,2019,20.0
44,2019_7,2019,1.0
5,2019_7,2019,2.0
16,2019_7,2019,3.0
77,2019_7,2019,4.0
33,2019_7,2019,5.0
3,2019_7,2019,6.0
27,2019_7,2019,7.0
10,2019_7,2019,8.0
18,2019_7,2019,9.0
26,2019_7,2019,10.0
55,2019_7,2019,11.0
11,2019_7,2019,12.0
